denumire,cui,localitate,judet,tip,autorizatie,telefon,sursa,email
DUNAGRICOL CARGO SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 31 DTS,0748817990,anr_autorizatii,
FERRY BECHET SRL,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 40 DTS,+35988242200,anr_autorizatii,
G P TRANS SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 30 DTS,0252312540,anr_autorizatii,
HIDROCONSTRUCŢIA SA SUCURSALA BANAT,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 25 DTS,0255516400,anr_autorizatii,
MANEA SRL,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 36 DTS,0252361391,anr_autorizatii,
PINII PROD COM SRL,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 26 DTS,0740242464,anr_autorizatii,
LICEUL TEHNOLOGIC ”DIERNA”,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMNC 37 DTS,0252361415,anr_autorizatii,
SOCIETATEA DE TRANSPORT PUBLIC TIMIȘOARA,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 32 DTS,0356803720,anr_autorizatii,
COMISION DIC SRL,,,,TRANSPORT PUBLIC DE PASAGERI PE CĂI NAVIGABILE INTERIOARE,TPMCN 42 DTS,0722434546,anr_autorizatii,
NAVIGO THE FIRST SRL,,,,TRANSPORT PUBLIC DE MĂRFURI PE CĂI NAVIGABILE INTERIOARE,TPMCN 44 DTS,0724363747,anr_autorizatii,
NR. CRT.,,,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
CAPITAL,,0241 631700,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
STAR SHIPPING S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
CARDIFF CREWING ROMANIA S.R.L.,,0341.463.497 / 0341.463.494,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
INTERMED CREW MANNING S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,0241502502,anr_crewing,
COLUMBIA STODIG ROMANIA S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
NEDCON MARITIME S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
BARKLAV S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
STARGATE,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
VALDOR CONSHIPPING S.R.L.,,Constanța,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
FAIR PLAY MARITIME S.R.L.,,0241 518557; 0241 612028,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
BRIGHT MARITIME SERVICES S.R.L.,,0241.619.122 / 0241.619.112,,FURNIZARE NAVIGATORI (CREWING),,,anr_crewing,
