name,cnpj,trade_name,country,status,org_type
SECRETARIA DE ESTADO DE EDUACACAO- RJ C.R.R. 08 BAIXADAS LITORANEAS II,07162981000112,,BR,,government
CAMARA MUNICIPAL DE VIRGOLANDIA,07164499000111,,BR,,government
FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,07165511000102,,BR,,government
MUNICIPIO DE AROEIRAS DO ITAIM,07165549000185,,BR,,government
DIRETORIA REGIONAL SERRANA I,07166203000100,,BR,,government
CAMARA MUNICIPAL DE PINHAO,07166543000122,,BR,,government
FUNDACAO DE SAUDE DE ANGRA DOS REIS,07167247000146,,BR,,government
FORUM DA COMARCA DE NOVA MUTUM,07167953000198,,BR,,government
FORUM DA COMARCA DE BRASNORTE,07168474000196,,BR,,government
SECRETARIA DE ESTADO DE EDUCACAO-RJ - COORDENADORIA REGIONAL 12 SERRANA IV,07168885000181,,BR,,government
MUNICIPIO DE SAO FRANCISCO DO MARANHAO - CAMARA MUNICIPAL,07168958000135,,BR,,government
SECRETARIA DE ESTADO DE EDUCACAO - C.R.R. 24 METROPOLITANA IX,07169298000107,,BR,,government
SUPERINTENDENCIA ESPECIAL DE POLITICAS PARA AS MULHERES,07171922000100,,BR,,government
FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL,07173244000115,,BR,,government
MUNICIPIO DE BREJO DO PIAUI - CAMARA MUNICIPAL,07174150000160,,BR,,government
CAMARA MUNICIPAL DE RODELAS,07175196000102,,BR,,government
INSTITUTO DE PREVIDENCIA DO MUNICIPIO DE ITAIBA,07177308000156,,BR,,government
SAAE - SERVICO AUTONOMO DE AGUA E ESGOTO DE REDUTO,07177468000103,,BR,,government
CAMARA MUNICIPAL DE LAGEDAO,07179158000110,,BR,,government
SECRETARIA DE ESTADO DE EDUCACAO-RJ - DIRETORIA REGIONAL ADMINISTRATIVA METROPOLITANA II,07179255000102,,BR,,government
REGIONAL NORTE FLUMINENSE,07180163000142,,BR,,government
SECRETARIA DE ESTADO DE EDUCACAO-RJ - COORDENADORIA REGIONAL 06 NORTE FLUMINENSE III,07180187000100,,BR,,government
MUNICIPIO DE SIMOES - SECRETARIA DE SAUDE,07181338000136,,BR,,government
INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS DE SANTA RITA DO PASSA QUATRO,07182887000125,,BR,,government
CAMARA MUNICIPAL DE INHAPI,07184792000140,,BR,,government
GABINETE DO VICE-GOVERNADOR,07187000000191,,BR,,government
FUNDACAO MUNICIPAL DE CULTURA E ESPORTES DE CANINDE,07189458000180,,BR,,government
"SECRETARIA DE DESENVOLVIMENTO DA CIDADANIA, SEGURANCA E TRANSPORTE",07189479000103,,BR,,government
MUNICIPIO DE MIGUEL LEAO - CAMARA MUNICIPAL,07190882000144,,BR,,government
INSTITUTO DE PREVIDENCIA DOS SERVIDORES MUNICIPAIS DE ALAGOINHA,07191947000176,,BR,,government
FUNDACAO EDUCATIVA E CULTURAL SG,07194560000173,,BR,,government
CAMARA MUNICIPAL DE FIGUEIRAO - MS,07195961000148,,BR,,government
FUNDO ESTADUAL DO MEIO AMBIENTE,07196590000119,,BR,,government
FUNPRESMO FUNDO PREV.MUN. MOSSAMEDES,07197685000157,,BR,,government
CAMARA MUNICIPAL DE MOEDA,07198712000106,,BR,,government
ESCOLA MUNICIPAL JOSE DE ANDRADE FRAZAO,07199595000103,,BR,,government
ESCOLA MUNICIPAL PROF ZULEIDE FERNANDES DE MACEDO SILVA,07199601000114,,BR,,government
ESCOLA MUNICIPAL PROFESSORA MARIA MADALENA XAVIER DE ANDRADE,07199611000150,,BR,,government
FUNDACAO DE TURISMO DE ANGRA DOS REIS,07200263000193,,BR,,government
ESCOLA DE ENSINO FUNDAMENTAL JOAO GOMES MOREIRA,07202921000186,,BR,,government
