CUI,DENUMIRE,CAEN,JUDET,TELEFON,STARE
45990897,MANDARIN.LTD S.R.L.,4661,"JUD. DOLJ, MUN. CRAIOVA, STR. CONSTANTIN BRÂNCOVEANU, NR.67, BL.47A1, SC.1, ET.4, AP.18",,INREGISTRAT din data 19.04.2022
48463964,MANDI AUTO GARAJ S.R.L.,4661,"JUD. DOLJ, SAT IŞALNIŢA COM. IŞALNIŢA, STR. ŞTEFAN CEL MARE, NR.25",MANDIAUTO@GMAIL,SUSPENDARE ACTIVITATE din data 30.07.2025
50604208,MAR AGRIPARTS S.R.L.,4661,"JUD. ILFOV, SAT TUNARI COM. TUNARI, STR. MARGARETELOR, NR.28",+40750447103,INREGISTRAT din data 26.09.2024
27894417,MARITRANS UTILAGRO S.R.L.,4661,"JUD. NEAMŢ, SAT HANUL ANCUŢEI COM. TUPILAŢI, NR.14",0740327089,INREGISTRAT din data 12.01.2011
23118499,MARNIDUD SRL,4661,"JUD. BRĂILA, SAT DUDEŞTI COM. DUDEŞTI, CVARTAL 24, PARCELELE 849,850,851",0239663412,INREGISTRAT din data 25.01.2008
37789184,MARVAN AGRAR SRL,4661,"JUD. TIMIŞ, SAT GIROC COM. GIROC, STR. SATU BĂTRÂN, NR.4, CAMERA 1",0752172778,INREGISTRAT din data 19.06.2017
39993651,MAS AGRO STANDARD S.R.L.,4661,"JUD. BIHOR, MUN. SALONTA, STR. KULIN GYÖRGY, NR.55/B",0758366606,INREGISTRAT din data 12.10.2018
15126113,MASCHIO-GASPARDO ROMANIA S.A.,2830,"JUD. ARAD, ORŞ. CHIŞINEU-CRIŞ, STR. ÎNFRĂŢIRII, NR.155",0257307030,INREGISTRAT din data 26.02.2003
17889405,MASINI AGRICOLE SI DE CONSTRUCTII G & B. S.R.L.,4661,"JUD. MARAMUREŞ, MUN. BAIA MARE, STR. BOGDAN VODĂ, NR.3A, AP.42",0742081680,SUSPENDARE ACTIVITATE din data 01.07.2009
39628575,MASTERAGRI HV S.R.L.,4661,"JUD. BRAŞOV, SAT FELDIOARA COM. FELDIOARA, STR. BRAŞOVULUI, NR.2, BIROUL 7",0740629552,INREGISTRAT din data 17.07.2018
41666066,MAT AGRI BUSINESS S.R.L.,4661,"JUD. IALOMIŢA, SAT MANASIA COM. MANASIA, STR. COOPERATIVEI, NR.80",,INREGISTRAT din data 19.09.2019
2315722,MAT CRAIOVA S.R.L.,2830,"JUD. DOLJ, MUN. CRAIOVA, BLD. DECEBAL, NR.111",051437675,INREGISTRAT din data 28.11.1992
2315722,MAT CRAIOVA S.R.L.,2830,"JUD. DOLJ, MUN. CRAIOVA, BLD. DECEBAL, NR.111",051437675,INREGISTRAT din data 28.11.1992
45930097,MAT CRIS UTILAJE S.R.L.,4661,"JUD. ILFOV, ORŞ. BRAGADIRU, PRL. GHENCEA, NR.45, BL.D3, SC.2, ET.2, AP.30",-,TRANSFER(SOSIRE) din data 30.01.2023
8040884,MAT MAGRIT SA,2830,"JUD. DOLJ, MUN. CRAIOVA, STR. SARARILOR, NR.3",0251439345,INREGISTRAT din data 19.01.1996
47080502,MATCAŞ INTERNATIONAL HOLDINGS S.R.L.,4661,"JUD. ILFOV, ORŞ. POPEŞTI-LEORDENI, STR. CHEIUL DÂMBOVIŢEI, NR.26, BL.1, SC.1, ET.PARTER, AP.3",,INREGISTRAT din data 26.10.2022
40032559,MATENIC OLTIMPORT-EXPORT S.R.L.,4661,"JUD. OLT, MUN. SLATINA, STR. ISLAZULUI, NR.18, CAMERA 1",,INREGISTRAT din data 22.10.2018
49960341,MAVO TOOLS S.R.L.,4661,"JUD. TIMIŞ, MUN. TIMIŞOARA, CAL. MARTIRILOR 1989, NR.70, SC.A, ET.3, AP.15",0769630434,INREGISTRAT din data 17.04.2024
30474685,MAXUTIL HEAVY MACHINERY S.R.L.,4661,"JUD. TIMIŞ, SAT GĂTAIA ORŞ. GĂTAIA, STR. CARPAŢI, NR.68, CAMERA 5",0730060862,INREGISTRAT din data 26.07.2012
35458613,MAXX HOLIDAY IMPEX SRL,4661,"JUD. CLUJ, MUN. CLUJ-NAPOCA, STR. GEORGE ENESCU, NR.5",,INREGISTRAT din data 21.01.2016
26421674,MC GENERAL DISTRIBUTION & SERVICES S.R.L.,4661,"MUNICIPIUL BUCUREŞTI, SECTOR 1, STR. ING. DUMITRU ZOSSIMA, NR.77, ET.2",0721260557,SUSPENDARE ACTIVITATE din data 01.06.2010
32840510,MEATSIB SPEDITION S.R.L.,4661,"JUD. VÂLCEA, SAT IFRIMEŞTI ORŞ. HOREZU,  , NR.F.N.23, PUNCTUL ACASĂ ȘI LOCUL POPII",,TRANSFER(SOSIRE) din data 08.07.2021
43130390,MECANIC-SHOP-STAR S.R.L.,4661,"JUD. ALBA, SAT VURPĂR COM. VINŢU DE JOS, NR.93B",,INREGISTRAT din data 02.10.2020
2045262,MECANICA CEAHLAU SA,2830,"JUD. NEAMŢ, MUN. PIATRA NEAMŢ, STR.  DUMBRAVEI, NR.6",0233215820,INREGISTRAT din data 29.11.1992
1122928,MECANICA CODLEA SA,2830,"JUD. BRAŞOV, MUN. CODLEA, STR. RAMPEI, NR.1",0268254200,INREGISTRAT din data 26.11.1992
34593697,MECANIKKA DEUTSCHE TRAKTOREN AG ROMANIA SRL,4661,"MUNICIPIUL BUCUREŞTI, SECTOR 4, ŞOS. GIURGIULUI, NR.121, CAMERA 2, BL.5, SC.4, AP.131",0757573761,INREGISTRAT din data 02.06.2015
14195468,MECANO-PREST-SERVICE SRL,4661,"JUD. VASLUI, MUN. BÂRLAD, ŞOS. TECUCIULUI, NR.7",0235421757,INREGISTRAT din data 25.09.2001
26100062,MECOMAG H.V. SRL,4661,"JUD. BRAŞOV, SAT FELDIOARA COM. FELDIOARA, STR. BRAŞOVULUI, NR.2",0744565495,INREGISTRAT din data 12.10.2009
6560473,MEDIA LINE SRL,4661,"MUNICIPIUL BUCUREŞTI, SECTOR 3, STR. OCTAVIAN, NR.37",0724310142,INREGISTRAT din data 25.07.2002
18125520,MEDREA CONSTRUCT SRL,4661,"JUD. HUNEDOARA, SAT SĂLIŞTE COM. BĂIŢA, COM. BAITA, NR.109",0723741149,RELUARE ACTIVITATE din data 24.01.2017
39533530,MEG GREEN GARDEN INSTALATIONS S.R.L.,4661,"JUD. IAŞI, SAT ARONEANU COM. ARONEANU, STR. BELVEDERE, NR.12, PARTER, CAMERA 6",0742145845,INREGISTRAT din data 25.06.2018
46431214,MELLIFERA APICULTURĂ S.R.L.,4661,"MUNICIPIUL BUCUREŞTI, SECTOR 2, ALE PANTELIMON, NR.6, BL.8, SC.1, ET.3, AP.29",,TRANSFER(SOSIRE) din data 14.05.2024
45613960,MEPE TEILE AGRO S.R.L.,4661,"JUD. SATU MARE, MUN. CAREI, STR. LISZT FERENC, NR.25, AP.6",,INREGISTRAT din data 09.02.2022
10238990,MERT-SAN IMPEX MASINI AGRICOLE SRL,4661,"JUD. BRAŞOV, MUN. CODLEA, STR. LUNGĂ, NR.12",,INREGISTRAT din data 05.01.1998
23567242,MESAGRO CO.  SRL,4661,"JUD. IALOMIŢA, COM. ION ROATĂ, STR. SAT NOU, NR.4",0722338258,INREGISTRAT din data 21.03.2008
49736680,META AGRICULTURE S.R.L.,4661,"JUD. DOLJ, SAT MALU MARE COM. MALU MARE, STR. PRUNILOR, NR.44",0740752722,INREGISTRAT din data 08.03.2024
47004920,META AGRO SOLUTION S.R.L.,4661,"JUD. SATU MARE, SAT HOMORODU DE MIJLOC COM. HOMOROADE, HOMORODU DE MIJLOC, NR.266",,INREGISTRAT din data 12.10.2022
48284896,METAL TEHNIC CONCEPT S.R.L.,2830,"JUD. BISTRIŢA-NĂSĂUD, SAT COCIU COM. ŞINTEREAG, NR.143",0758516220,INREGISTRAT din data 07.06.2023
4744585,METEOR IMPEX S.R.L.,4661,"JUD. COVASNA, MUN. TÂRGU SECUIESC, STR. NICOLAE BĂLCESCU, NR.1, BL.45, SC.C, ET.2, AP.4",0267362617,INREGISTRAT din data 07.10.1993
38105985,METOP SRL,4661,"JUD. BIHOR, MUN. ORADEA, STR. GEORGE VÂLSAN, NR.12",0742091890,INREGISTRAT din data 17.08.2017
35866272,METSOLB AGROCONSTRUCT SRL,4661,"JUD. GORJ, MUN. TÂRGU JIU, STR. VICTORIEI, NR.198, CAMERA  5 ŞI CAMERA 7, ET.P",,INREGISTRAT din data 25.03.2016
6280007,MEWI IMPORT EXPORT AGRAR INDUSTRIETECHNIK SRL,4661,"JUD. TIMIŞ, SAT ORTIŞOARA COM. ORTIŞOARA, DN 69 KM 22",0256494350,INREGISTRAT din data 14.10.1994
38024627,MEZOGEP EXPORT IMPORT SRL,4661,"JUD. HARGHITA, SAT CĂPÂLNIŢA COM. CĂPÂLNIŢA, CĂPÎLNIŢA, NR.65E",0740628840,INREGISTRAT din data 25.07.2017
37725920,MHM TOP TRADE SRL,4661,"MUNICIPIUL BUCUREŞTI, SECTOR 3, STR MOŢILOR, NR.20, CAMERA NR. 1, BL.A, SC.2, ET.3, AP.303",,INREGISTRAT din data 09.06.2017
46533672,MIHAI & ALINA TRADE S.R.L.,4661,"MUNICIPIUL BUCUREŞTI, SECTOR 2, STR LIREI, NR.2, ET.2, AP.7",,INREGISTRAT din data 25.07.2022
29698115,MIHUŢ T. DORIN PERSOANĂ FIZICĂ AUTORIZATĂ,4661,"JUD. SĂLAJ, MUN. ZALĂU, ALEEA LT.COL. TEOFIL MOLDOVEANU, NR.24, BL.S34, AP.4",0751141832,INREGISTRAT din data 14.02.2012
42544113,MIK TEO S.R.L.,4661,"JUD. VÂLCEA, MUN. RÂMNICU VÂLCEA, STR. ANDREI MUREŞIANU, NR.9",,INREGISTRAT din data 26.05.2020
