DISTRIBUITORI UTILAJE AGRICOLE DIN BAZA ANAF
Total firme scanate: 2,778,122
Data sursa: D:\MEMORY\CLAUDE\OPT\AGRI_SCRAPERS\anaf_all_romania_full.csv

================================================================================
CAEN 4661 - WHOLESALE AGRICULTURAL MACHINERY (1369 firme)
================================================================================

194. NIBO AGRO MOTOR S.R.L. | BIHOR | CAEN:4661 | 0745565685
195. ROGOJANA S.R.L. | BIHOR | CAEN:4661 | 0744506158
196. SBF UTILAGRO S.R.L. | BIHOR | CAEN:4661 | 0751328827
197. AGRODANTON S.R.L. | BIHOR | CAEN:4661 | 0749284567
198. TERRA KING S.R.L. | BIHOR | CAEN:4661 | 0766851439
199. MAS AGRO STANDARD S.R.L. | BIHOR | CAEN:4661 | 0758366606
200. PB AGRAR MACHINE S.R.L. | BIHOR | CAEN:4661 | 0036205259999
201. ERIK MASKINER S.R.L. | BIHOR | CAEN:4661 | 0745827121
202. UTILAJE CIUCIU S.R.L. | BIHOR | CAEN:4661 | 
203. KOSZTI SZABO MANASSE S.R.L. | BIHOR | CAEN:4661 | 
204. AKHERON PARTS S.R.L. | BIHOR | CAEN:4661 | 0742821820
205. AGROHOF FOLDVARI GROUP S.R.L. | BIHOR | CAEN:4661 | 0726674080
206. DINAMIC FARM JOLŢA S.R.L. | BIHOR | CAEN:4661 | 0749418351
207. AGRIMARKET INTERNATIONAL S.R.L. | BIHOR | CAEN:4661 | 
208. ESSEVI AGRICOLTURA S.R.L. | BIHOR | CAEN:4661 | 0259424144
209. SHOOQ IMPEX S.R.L. | BIHOR | CAEN:4661 | 0724313903
210. UICACLOB S.R.L. | BIHOR | CAEN:4661 | 0732037326
211. R&G META ITALY COMPANY S.R.L. | BIHOR | CAEN:4661 | +393277173281
212. DERISZOF S.R.L. | BIHOR | CAEN:4661 | 0749298380
213. AGRO-HANDEL S.R.L. | BIHOR | CAEN:4661 | 
214. AGROSAN PARTENER S.R.L. | BIHOR | CAEN:4661 | 0729825558
215. ALBONE S.R.L. | BIHOR | CAEN:4661 | 0742279767
216. AGRO-SZABO S.R.L. | BIHOR | CAEN:4661 | 0036306830853
217. MIL PELET MACHINERY S.R.L. | BIHOR | CAEN:4661 | 0753792286
218. SIF.RO S.R.L. | BIHOR | CAEN:4661 | 
219. LC AGRO EQUIPMENT S.R.L. | BIHOR | CAEN:4661 | 0720098815
220. KAT AGRO S.R.L. | BIHOR | CAEN:4661 | 0746622390
221. IANAGRO S.R.L. | BIHOR | CAEN:4661 | 0730247164
222. NEANDERCOM SRL | BISTRIŢA-NĂSĂUD | CAEN:4661 | 63221392
223. ALBERTA COM SRL | BISTRIŢA-NĂSĂUD | CAEN:4661 | 0754069045
224. ANDREICA IMPEX SRL | BISTRIŢA-NĂSĂUD | CAEN:4661 | 0745804524
225. SILVA GARDEN SRL | BISTRIŢA-NĂSĂUD | CAEN:4661 | 0727804714
226. OLEOMATIC SRL | BISTRIŢA-NĂSĂUD | CAEN:4661 | 
227. ACL MOBILE CAR WASH SRL | BISTRIŢA-NĂSĂUD | CAEN:4661 | 
228. ANDERS ESSENER SRL | BISTRIŢA-NĂSĂUD | CAEN:4661 | 0764235914
229. FERMIERUL BISTRITA SRL | BISTRIŢA-NĂSĂUD | CAEN:4661 | 
230. EFM BUSINESS  SRL | BISTRIŢA-NĂSĂUD | CAEN:4661 | 
